FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
sweep_VERB,give a sweep,give_VERB,sweep_SUBST,punctive,count,Bonial (2014),TRUE,TRUE,FALSE,
talk_VERB,give a talk,give_VERB,talk_SUBST,durative,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
taste_VERB,give a taste,give_VERB,taste_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
tickle_VERB,give a tickle,give_VERB,tickle_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
frighten_VERB,give a fright,give_VERB,fright_SUBST,punctive,count,Brugman (2001),FALSE,TRUE,FALSE,
try_VERB,give a try,give_VERB,try_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
present_VERB,give a presentation,give_VERB,presentation_SUBST,durative,count,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
whiff_VERB,give a whiff,give_VERB,whiff_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
wink_VERB,give a wink,give_VERB,wink_SUBST,punctive,count,Liu & Chersoni (2023),TRUE,TRUE,FALSE,
scold_VERB,give a scolding,give_VERB,scolding_SUBST,durative,count,Wittenberg & Levy (2017);Wittenberg (2016),FALSE,TRUE,FALSE,
address_VERB,give an address,give_VERB,address_SUBST,durative,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
answer_VERB,give an answer,give_VERB,answer_SUBST,durative,count,Butt (2010),TRUE,TRUE,FALSE,
speak_VERB,give a speech,give_VERB,speech_SUBST,durative,count,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
embrace_VERB,give an embrace,give_VERB,embrace_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
summarise_VERB,give a summary,give_VERB,summary_SUBST,durative,count,Gilquin (2019),FALSE,TRUE,FALSE,
overview_VERB,give an overview,give_VERB,overview_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
treat_VERB,give a treatment,give_VERB,treatment_SUBST,durative,count,Gilquin (2019),FALSE,TRUE,FALSE,
warn_VERB,give a warning,give_VERB,warning_SUBST,punctive,count,Wittenberg (2016),FALSE,TRUE,FALSE,
admit_VERB,give admittance,give_VERB,admittance_SUBST,durative,mass,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
battle_VERB,give battle,give_VERB,battle_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
advise_VERB,give advice,give_VERB,advice_SUBST,durative,mass,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
applaude_VERB,give an applause,give_VERB,applause_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,to give a big round of applause
exemplify_VERB,give an example,give_VERB,example_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
assist_VERB,give assistance,give_VERB,assistance_SUBST,durative,mass,Wittenberg & Levy (2017);Mehl (2019),FALSE,TRUE,FALSE,
help_VERB,give help,give_VERB,help_SUBST,durative,mass,Mehl (2019),TRUE,TRUE,FALSE,
assure_VERB,give assurance,give_VERB,assurance_SUBST,durative,mass,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
counsel_VERB,give counselling,give_VERB,counselling_SUBST,durative,mass,Gilquin (2019),FALSE,TRUE,FALSE,
support_VERB,give support,give_VERB,support_SUBST,durative,mass,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
direct_VERB,give directions,give_VERB,directions_SUBST,durative,mass,Mehl (2019),FALSE,TRUE,FALSE,
bite_VERB,have a bite,have_VERB,bite_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
chat_VERB,have a chat,have_VERB,chat_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
chew_VERB,have a chew,have_VERB,chew_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
cough_VERB,have a cough,have_VERB,cough_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
cry_VERB,have a cry,have_VERB,cry_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
cuddle_VERB,have a cuddle,have_VERB,cuddle_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
dance_VERB,have a dance,have_VERB,dance_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
doubt_VERB,have a doubt,have_VERB,doubt_SUBST,punctive,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
drink_VERB,have a drink,have_VERB,drink_SUBST,punctive,count,Bonial (2014),TRUE,TRUE,FALSE,
fall_VERB,have a fall,have _VERB,fall_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
feel_VERB,have a feel,have_VERB,feel_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
drug_VERB,give drugs,give_VERB,drugs_SUBST,durative,mass,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
encourage_VERB,give encouragement,give_VERB,encouragement_SUBST,durative,mass,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
glance_VERB,have a glance,have _VERB,glance_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
glimpse_VERB,have a glimpse,have _VERB,glimpse_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
gossip_VERB,have a gossip,have_VERB,gossip_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
jog_VERB,have a jog,have_VERB,jog_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,on p.43 of Bonial (2014) it says joB
kick_VERB,have a kick,have_VERB,kick_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,to have a kick of the football
kiss_VERB,have a kiss,have_VERB,kiss_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
laugh_VERB,have a laugh,have_VERB,laugh_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
lick_VERB,have a lick,have_VERB,lick_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
guide_VERB,give guidance,give_VERB,guidance_SUBST,durative,mass,Gilquin (2019),FALSE,TRUE,FALSE,
listen_VERB,have a listen,have_VERB,listen_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
inform_VERB,give information,give_VERB,information_SUBST,durative,mass,Mehl (2019),FALSE,TRUE,FALSE,
nibble_VERB,have a nibble,have_VERB,nibble_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
read_VERB,have a read,have_VERB,read_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
rest_VERB,have a rest,have_VERB,rest_SUBST,durative,count,Bonial (2014),TRUE,TRUE,FALSE,
run_VERB,have a run,have_VERB,run_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
